Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,"Hi, Mom","$821,510,852",-,-,"$821,510,852",100%
2,Detective Chinatown 3,"$686,257,563",-,-,"$686,257,563",100%
3,Godzilla vs. Kong,"$297,300,000","$60,000,000",20.2%,"$237,300,000",79.8%
4,A Writer's Odyssey,"$149,506,203","$110,779",<0.1%,"$149,395,424",99.9%
5,Tom and Jerry,"$93,300,000","$39,500,000",42.3%,"$53,800,000",57.7%
6,Endgame,"$91,815,762","$23,149",<0.1%,"$91,792,613",100%
7,Raya and the Last Dragon,"$88,445,853","$33,650,411",38%,"$54,795,442",62%
8,Boonie Bears: The Wild Life,"$77,725,611",-,-,"$77,725,611",100%
9,Evangelion: 3.0+1.0 Thrice Upon a Time,"$62,323,726",-,-,"$62,323,726",100%
10,Nazha Reborn,"$56,088,478",-,-,"$56,088,478",100%
11,Avatar 2021 Re-release,"$54,634,048",-,-,"$54,634,048",100%
12,Sister,"$52,800,000",-,-,"$52,800,000",100%
13,The Yinyang Master,"$37,690,000",-,-,"$37,690,000",100%
14,Big Red Envelope,"$32,800,000",-,-,"$32,800,000",100%
15,I Fell in Love Like A Flower Bouquet,"$31,946,381",-,-,"$31,946,381",100%
16,The Little Things,"$29,458,000","$15,058,000",51.1%,"$14,400,000",48.9%
17,Master,"$28,692,230",-,-,"$28,692,230",100%
18,The Last Warrior: Root of Evil,"$28,338,091",-,-,"$28,338,091",100%
19,Nobody,"$22,234,135","$12,977,135",58.4%,"$9,257,000",41.6%
20,The Marksman,"$21,508,667","$15,094,804",70.2%,"$6,413,863",29.8%
21,Wish Dragon,"$21,120,000",-,-,"$21,120,000",100%
22,Chaos Walking,"$21,009,655","$12,409,655",59.1%,"$8,600,000",40.9%
23,Gintama: The Final,"$16,971,401",-,-,"$16,971,401",100%
24,The Dry,"$16,668,118",-,-,"$16,668,118",100%
25,Bo Gia,"$15,516,889",-,-,"$15,516,889",100%
26,Upon the Magic Roads,"$13,284,522",-,-,"$13,284,522",100%
27,Krack,"$10,442,916",-,-,"$10,442,916",100%
28,Minari,"$10,387,055","$2,151,855",20.7%,"$8,235,200",79.3%
29,Meitantei Conan: Hiiro no fuzai shômei,"$10,308,627",-,-,"$10,308,627",100%
30,Ji hun,"$9,600,000",-,-,"$9,600,000",100%
31,"Caution, Hazardous Wife: The Movie","$7,854,817",-,-,"$7,854,817",100%
32,Monkey King Reborn,"$7,290,000",-,-,"$7,290,000",100%
33,The Courier,"$5,982,299","$4,471,168",74.7%,"$1,511,131",25.3%
34,Penguin Bloom,"$5,913,143",-,-,"$5,913,143",100%
35,Judas and the Black Messiah,"$5,862,000","$5,246,000",89.5%,"$616,000",10.5%
36,Brave: Gunjyo Senki,"$5,677,186",-,-,"$5,677,186",100%
37,Suicide Forest Village,"$5,584,171",-,-,"$5,584,171",100%
38,Octonauts: The Ring of Fire,"$5,300,000",-,-,"$5,300,000",100%
39,The Eleventh Chapter,"$5,170,000",-,-,"$5,170,000",100%
40,Dad,"$5,015,023",-,-,"$5,015,023",100%
41,Red,"$4,920,261",-,-,"$4,920,261",100%
42,Nomadland,"$4,799,469","$2,143,000",44.7%,"$2,656,469",55.3%
43,Under the Open Sky,"$4,702,781",-,-,"$4,702,781",100%
44,Peter Rabbit 2,"$4,700,000",-,-,"$4,700,000",100%
45,The Unholy,"$4,565,460","$4,331,878",94.9%,"$233,582",5.1%
46,The Relatives,"$4,300,000",-,-,"$4,300,000",100%
47,Boogie,"$4,102,475","$4,102,475",100%,-,-
48,Mission Possible,"$3,563,279",-,-,"$3,563,279",100%
49,Tomorrow Will Be Fine,"$3,520,000",-,-,"$3,520,000",100%
50,Wrong Turn,"$3,485,063","$1,029,333",29.5%,"$2,455,730",70.5%
51,The Sun Does Not Move,"$3,483,187",-,-,"$3,483,187",100%
52,Kiba: The Fangs of Fiction,"$3,391,799",-,-,"$3,391,799",100%
53,The Mauritanian,"$3,336,536","$836,536",25.1%,"$2,500,000",74.9%
54,Girls und Panzer das Finale: Part III,"$2,582,956",-,-,"$2,582,956",100%
