Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,"Hi, Mom","$821,416,557",-,-,"$821,416,557",100%
2,Detective Chinatown 3,"$686,257,563",-,-,"$686,257,563",100%
3,Godzilla vs. Kong,"$285,800,000","$48,500,000",17%,"$237,300,000",83%
4,A Writer's Odyssey,"$149,506,203","$110,779",<0.1%,"$149,395,424",99.9%
5,Tom and Jerry,"$93,300,000","$39,500,000",42.3%,"$53,800,000",57.7%
6,Endgame,"$91,817,462","$23,149",<0.1%,"$91,794,313",100%
7,Raya and the Last Dragon,"$86,882,543","$32,649,409",37.6%,"$54,233,134",62.4%
8,Boonie Bears: The Wild Life,"$77,725,242",-,-,"$77,725,242",100%
9,Nazha Reborn,"$56,088,478",-,-,"$56,088,478",100%
10,Evangelion: 3.0+1.0 Thrice Upon a Time,"$55,437,904",-,-,"$55,437,904",100%
11,Avatar 2021 Re-release,"$54,634,048",-,-,"$54,634,048",100%
12,Sister,"$52,800,000",-,-,"$52,800,000",100%
13,The Yinyang Master,"$37,690,000",-,-,"$37,690,000",100%
14,Big Red Envelope,"$32,800,000",-,-,"$32,800,000",100%
15,I Fell in Love Like A Flower Bouquet,"$31,009,548",-,-,"$31,009,548",100%
16,The Little Things,"$29,458,000","$15,058,000",51.1%,"$14,400,000",48.9%
17,Master,"$28,692,230",-,-,"$28,692,230",100%
18,The Last Warrior: Root of Evil,"$28,338,091",-,-,"$28,338,091",100%
19,Nobody,"$21,659,680","$12,402,680",57.3%,"$9,257,000",42.7%
20,The Marksman,"$21,475,208","$15,063,348",70.1%,"$6,411,860",29.9%
21,Wish Dragon,"$21,120,000",-,-,"$21,120,000",100%
22,Chaos Walking,"$20,919,155","$12,319,155",58.9%,"$8,600,000",41.1%
23,Gintama: The Final,"$16,971,401",-,-,"$16,971,401",100%
24,The Dry,"$16,652,030",-,-,"$16,652,030",100%
25,Bo Gia,"$14,725,390",-,-,"$14,725,390",100%
26,Upon the Magic Roads,"$13,284,522",-,-,"$13,284,522",100%
27,Krack,"$10,442,916",-,-,"$10,442,916",100%
28,Meitantei Conan: Hiiro no fuzai shômei,"$10,308,627",-,-,"$10,308,627",100%
29,Minari,"$9,754,287","$2,078,912",21.3%,"$7,675,375",78.7%
30,Ji hun,"$9,600,000",-,-,"$9,600,000",100%
31,Monkey King Reborn,"$7,290,000",-,-,"$7,290,000",100%
32,Penguin Bloom,"$5,922,214",-,-,"$5,922,214",100%
33,Judas and the Black Messiah,"$5,862,000","$5,246,000",89.5%,"$616,000",10.5%
34,"Caution, Hazardous Wife: The Movie","$5,808,039",-,-,"$5,808,039",100%
35,Brave: Gunjyo Senki,"$5,677,186",-,-,"$5,677,186",100%
36,Suicide Forest Village,"$5,584,171",-,-,"$5,584,171",100%
37,Octonauts: The Ring of Fire,"$5,300,000",-,-,"$5,300,000",100%
38,The Courier,"$5,230,664","$4,356,695",83.3%,"$873,969",16.7%
39,The Eleventh Chapter,"$5,170,000",-,-,"$5,170,000",100%
40,Dad,"$5,015,023",-,-,"$5,015,023",100%
41,Red,"$4,920,261",-,-,"$4,920,261",100%
42,Under the Open Sky,"$4,702,781",-,-,"$4,702,781",100%
43,Peter Rabbit 2,"$4,700,000",-,-,"$4,700,000",100%
44,Nomadland,"$4,526,950","$2,143,000",47.3%,"$2,383,950",52.7%
45,The Relatives,"$4,300,000",-,-,"$4,300,000",100%
46,Boogie,"$4,083,520","$4,083,520",100%,-,-
47,The Unholy,"$3,779,233","$3,779,233",100%,-,-
48,Mission Possible,"$3,563,279",-,-,"$3,563,279",100%
49,Tomorrow Will Be Fine,"$3,520,000",-,-,"$3,520,000",100%
50,The Sun Does Not Move,"$3,483,187",-,-,"$3,483,187",100%
51,Wrong Turn,"$3,447,746","$1,010,895",29.3%,"$2,436,851",70.7%
52,The Mauritanian,"$3,336,536","$836,536",25.1%,"$2,500,000",74.9%
53,Land,"$2,577,830","$2,577,830",100%,-,-
54,High Ground,"$2,337,143",-,-,"$2,337,143",100%
55,Roohi,"$2,296,322",-,-,"$2,296,322",100%
56,Yakuza and the Family,"$2,168,905",-,-,"$2,168,905",100%
57,Couple from the Future,"$2,149,883",-,-,"$2,149,883",100%
58,30 Rojullo Preminchadam Ela?,"$2,088,571",-,-,"$2,088,571",100%
59,The Night Beyond the Tricornered Window,"$2,081,564",-,-,"$2,081,564",100%
60,Mumbai Saga,"$2,003,767",-,-,"$2,003,767",100%
61,Alludu Adhurs,"$1,915,032",-,-,"$1,915,032",100%
62,The Con-Heartist,"$1,629,745",-,-,"$1,629,745",100%
63,Girls und Panzer das Finale: Part III,"$1,582,639",-,-,"$1,582,639",100%
64,La La Land 2020 Re-release,"$1,456,649",-,-,"$1,456,649",100%
65,Kiba: The Fangs of Fiction,"$1,456,095",-,-,"$1,456,095",100%
66,Eeswaran,"$1,413,760",-,-,"$1,413,760",100%
67,Boss Level,"$1,349,490",-,-,"$1,349,490",100%
68,New Year Blues,"$1,344,633",-,-,"$1,344,633",100%
69,I Care a Lot,"$1,274,341",-,-,"$1,274,341",100%
70,Zombie Reddy,"$1,242,321",-,-,"$1,242,321",100%
71,Sailor Moon Eternal,"$1,130,225",-,-,"$1,130,225",100%
72,Juega Conmigo,"$1,112,703",-,-,"$1,112,703",100%
73,Aria the Crepuscolo,"$1,087,319",-,-,"$1,087,319",100%
74,The Way We Keep Dancing,"$1,074,644",-,-,"$1,074,644",100%
75,Extinct,"$1,052,320",-,-,"$1,052,320",100%
76,Shadow in the Cloud,"$1,024,767","$156,932",15.3%,"$867,835",84.7%
77,The North Wind,"$1,003,414",-,-,"$1,003,414",100%
78,Crisis,"$980,170","$404,738",41.3%,"$575,432",58.7%
79,Zoya,"$944,885",-,-,"$944,885",100%
80,One Second Champion,"$869,034",-,-,"$869,034",100%
81,In the Mood for Love 2020 Re-release,"$864,284",-,-,"$864,284",100%
82,Cousins,"$813,088",-,-,"$813,088",100%
83,Jathi Ratnalu,"$727,520","$470,000",64.6%,"$257,520",35.4%
84,Lamb of God: The Concert Film,"$679,555","$679,555",100%,-,-
85,Long Story Short,"$663,815",-,-,"$663,815",100%
86,Our Friend,"$657,351","$657,351",100%,-,-
87,Tazza: One-Eyed Jack 2021 Re-release,"$645,401",-,-,"$645,401",100%
88,The Girl Who Believes in Miracles,"$643,225","$643,225",100%,-,-
89,Music,"$641,783",-,-,"$641,783",100%
90,French Exit,"$612,262","$181,459",29.6%,"$430,803",70.4%
91,Three Sisters 2021 Re-release,"$594,075",-,-,"$594,075",100%
92,The Box,"$550,125",-,-,"$550,125",100%
93,Long Weekend,"$521,337","$521,337",100%,-,-
94,Dark Spell,"$515,596",-,-,"$515,596",100%
95,Maya the Bee 3: The Golden Orb,"$506,988",-,-,"$506,988",100%
96,Kalathil Sandhippom,"$453,001",-,-,"$453,001",100%
97,Twist,"$438,168",-,-,"$438,168",100%
98,The Cinderella Addiction,"$421,202",-,-,"$421,202",100%
99,Willy's Wonderland,"$418,286","$418,286",100%,-,-
100,Bangaru Bullodu,"$418,267",-,-,"$418,267",100%
101,Ainbo,"$406,368",-,-,"$406,368",100%
102,The Truffle Hunters,"$376,881",-,-,"$376,881",100%
103,Riders of Justice,"$376,314",-,-,"$376,314",100%
104,Russian Yug,"$348,435",-,-,"$348,435",100%
105,My Salinger Year,"$347,711","$54,730",15.7%,"$292,981",84.3%
106,Earwig and the Witch,"$347,340","$173,704",50%,"$173,636",50%
107,Supernova,"$343,822","$233,837",68%,"$109,985",32%
108,The Emperor's New Groove 2021 Re-release,"$334,000","$334,000",100%,-,-
109,Occupation: Rainfall,"$331,091",-,-,"$331,091",100%
110,Dutch,"$323,167","$323,167",100%,-,-
111,Kabadadaari,"$302,563",-,-,"$302,563",100%
112,Abominable 2021 Re-release,"$299,583","$110,000",36.7%,"$189,583",63.3%
